zip,Zipcode name,City,State,County Name
99124,"ELMER CITY, WA",ELMER CITY,WA,OKANOGAN
99330,"ELTOPIA, WA",ELTOPIA,WA,FRANKLIN
99125,"ENDICOTT, WA",ENDICOTT,WA,WHITMAN
98822,"ENTIAT, WA",ENTIAT,WA,CHELAN
98022,"ENUMCLAW, WA",ENUMCLAW,WA,KING
98823,"EPHRATA, WA",EPHRATA,WA,GRANT
98542,"ETHEL, WA",ETHEL,WA,LEWIS
99126,"EVANS, WA",EVANS,WA,STEVENS
98201,"EVERETT, WA",EVERETT,WA,SNOHOMISH
98203,"EVERETT, WA",EVERETT,WA,SNOHOMISH
98204,"EVERETT, WA",EVERETT,WA,SNOHOMISH
98205,"EVERETT, WA",EVERETT,WA,SNOHOMISH
98206,"EVERETT, WA",EVERETT,WA,SNOHOMISH
98207,"EVERETT, WA",EVERETT,WA,SNOHOMISH
98208,"EVERETT, WA",EVERETT,WA,SNOHOMISH
98213,"EVERETT, WA",EVERETT,WA,SNOHOMISH
98247,"EVERSON, WA",EVERSON,WA,WHATCOM
99011,"FAIRCHILD AIR FORCE BASE, WA",FAIRCHILD AIR FORCE BASE,WA,SPOKANE
99012,"FAIRFIELD, WA",FAIRFIELD,WA,SPOKANE
98024,"FALL CITY, WA",FALL CITY,WA,KING
99128,"FARMINGTON, WA",FARMINGTON,WA,WHITMAN
98003,"FEDERAL WAY, WA",FEDERAL WAY,WA,KING
98023,"FEDERAL WAY, WA",FEDERAL WAY,WA,KING
98063,"FEDERAL WAY, WA",FEDERAL WAY,WA,KING
98093,"FEDERAL WAY, WA",FEDERAL WAY,WA,KING
98248,"FERNDALE, WA",FERNDALE,WA,WHATCOM
99013,"FORD, WA",FORD,WA,STEVENS
98331,"FORKS, WA",FORKS,WA,CLALLAM
99014,"FOUR LAKES, WA",FOUR LAKES,WA,SPOKANE
98333,"FOX ISLAND, WA",FOX ISLAND,WA,PIERCE
98249,"FREELAND, WA",FREELAND,WA,ISLAND
98250,"FRIDAY HARBOR, WA",FRIDAY HARBOR,WA,SAN JUAN
99129,"FRUITLAND, WA",FRUITLAND,WA,STEVENS
99130,"GARFIELD, WA",GARFIELD,WA,WHITMAN
98824,"GEORGE, WA",GEORGE,WA,GRANT
98329,"GIG HARBOR, WA",GIG HARBOR,WA,PIERCE
98332,"GIG HARBOR, WA",GIG HARBOR,WA,PIERCE
98335,"GIG HARBOR, WA",GIG HARBOR,WA,PIERCE
98336,"GLENOMA, WA",GLENOMA,WA,LEWIS
98619,"GLENWOOD, WA",GLENWOOD,WA,KLICKITAT
98251,"GOLD BAR, WA",GOLD BAR,WA,SNOHOMISH
98620,"GOLDENDALE, WA",GOLDENDALE,WA,KLICKITAT
98338,"GRAHAM, WA",GRAHAM,WA,PIERCE
99133,"GRAND COULEE, WA",GRAND COULEE,WA,GRANT
98930,"GRANDVIEW, WA",GRANDVIEW,WA,YAKIMA
98932,"GRANGER, WA",GRANGER,WA,YAKIMA
98252,"GRANITE FALLS, WA",GRANITE FALLS,WA,SNOHOMISH
98546,"GRAPEVIEW, WA",GRAPEVIEW,WA,MASON
98547,"GRAYLAND, WA",GRAYLAND,WA,GRAYS HARBOR
98621,"GRAYS RIVER, WA",GRAYS RIVER,WA,WAHKIAKUM
99016,"GREENACRES, WA",GREENACRES,WA,SPOKANE
98253,"GREENBANK, WA",GREENBANK,WA,ISLAND
98255,"HAMILTON, WA",HAMILTON,WA,SKAGIT
98340,"HANSVILLE, WA",HANSVILLE,WA,KITSAP
98933,"HARRAH, WA",HARRAH,WA,YAKIMA
99134,"HARRINGTON, WA",HARRINGTON,WA,LINCOLN
99135,"HARTLINE, WA",HARTLINE,WA,GRANT
98622,"HEISSON, WA",HEISSON,WA,CLARK
98025,"HOBART, WA",HOBART,WA,KING
98548,"HOODSPORT, WA",HOODSPORT,WA,MASON
98550,"HOQUIAM, WA",HOQUIAM,WA,GRAYS HARBOR
98552,"HUMPTULIPS, WA",HUMPTULIPS,WA,GRAYS HARBOR
99137,"HUNTERS, WA",HUNTERS,WA,STEVENS
98623,"HUSUM, WA",HUSUM,WA,KLICKITAT
98624,"ILWACO, WA",ILWACO,WA,PACIFIC
99138,"INCHELIUM, WA",INCHELIUM,WA,FERRY
98256,"INDEX, WA",INDEX,WA,SNOHOMISH
98342,"INDIANOLA, WA",INDIANOLA,WA,KITSAP
99139,"IONE, WA",IONE,WA,PEND OREILLE
98027,"ISSAQUAH, WA",ISSAQUAH,WA,KING
98029,"ISSAQUAH, WA",ISSAQUAH,WA,KING
98343,"JOYCE, WA",JOYCE,WA,CLALLAM
98625,"KALAMA, WA",KALAMA,WA,COWLITZ
98344,"KAPOWSIN, WA",KAPOWSIN,WA,PIERCE
99140,"KELLER, WA",KELLER,WA,FERRY
98626,"KELSO, WA",KELSO,WA,COWLITZ
98028,"KENMORE, WA",KENMORE,WA,KING
99336,"KENNEWICK, WA",KENNEWICK,WA,BENTON
99337,"KENNEWICK, WA",KENNEWICK,WA,BENTON
99338,"KENNEWICK, WA",KENNEWICK,WA,BENTON
98030,"KENT, WA",KENT,WA,KING
98031,"KENT, WA",KENT,WA,KING
98032,"KENT, WA",KENT,WA,KING
98035,"KENT, WA",KENT,WA,KING
98042,"KENT, WA",KENT,WA,KING
98064,"KENT, WA",KENT,WA,KING
98089,"KENT, WA",KENT,WA,KING
99141,"KETTLE FALLS, WA",KETTLE FALLS,WA,STEVENS
98345,"KEYPORT, WA",KEYPORT,WA,KITSAP
98346,"KINGSTON, WA",KINGSTON,WA,KITSAP
98033,"KIRKLAND, WA",KIRKLAND,WA,KING
98034,"KIRKLAND, WA",KIRKLAND,WA,KING
98083,"KIRKLAND, WA",KIRKLAND,WA,KING
98934,"KITTITAS, WA",KITTITAS,WA,KITTITAS
98628,"KLICKITAT, WA",KLICKITAT,WA,KLICKITAT
98629,"LA CENTER, WA",LA CENTER,WA,CLARK
98257,"LA CONNER, WA",LA CONNER,WA,SKAGIT
98348,"LA GRANDE, WA",LA GRANDE,WA,PIERCE
98503,"LACEY, WA",LACEY,WA,THURSTON
98509,"LACEY, WA",LACEY,WA,THURSTON
99143,"LACROSSE, WA",LACROSSE,WA,WHITMAN
